n,Xn,Fm,Error
1,-1.225,1.161734375,1.0005
2,-1.3375,0.607337890625,0.1125
3,-1.39375,0.292586181640625,0.0562499999999999
4,-1.421875,0.125354766845703,0.0281250000000002
5,-1.4359375,0.0392167701721191,0.0140625000000001
6,-1.44296875,-0.00449010038375855,0.00703124999999982
7,-1.439453125,0.0174167081713676,0.00351562499999991
8,-1.4412109375,0.00647666350752115,0.00175781249999996
9,-1.44208984375,0.000996623502112925,0.000878906249999867
10,-1.442529296875,-0.0017459027011646,0.000439453125000044
