n,x_m,x_i,x_s,f_m,f_i,f_s,E
0,4.28571428571429,0,5,-3.06122448979592,30,-5,1.0005
1,3.88888888888889,0,4.28571428571429,-1.54320987654321,30,-3.06122448979592,0.396825396825397
2,3.6986301369863,0,3.88888888888889,-0.70369675361231,30,-1.54320987654321,0.190258751902587
3,3.61386138613861,0,3.6986301369863,-0.306342515439663,30,-0.70369675361231,0.084768750847688
4,3.57733175914994,0,3.61386138613861,-0.13067859477648,30,-0.306342515439663,0.0365296269886732
5,3.56181665264928,0,3.57733175914994,-0.0552619647016632,30,-0.13067859477648,0.0155151065006556
6,3.55526761686435,0,3.56181665264928,-0.0232835748478739,30,-0.0552619647016632,0.00654903578493737
7,3.55251044543588,0,3.55526761686435,-0.00979488029950416,30,-0.0232835748478739,0.0027571714284722
8,3.55135094352276,0,3.55251044543588,-0.00411779821314262,30,-0.00979488029950416,0.00115950191311098
9,3.55086355220308,0,3.55135094352276,-0.00173066007270755,30,-0.00411779821314262,0.000487391319679453
